age;sexe_nais;genre;genre_autre;ethnie;ehtnie_autre;school;cegep_precisez;cycle_et;regime_et;prog_et;prog_et_precisez;format_cours;traval_hrs;maritale;enfant;cmb_enfant;dx_tr_app;dx_tr_app_lequel;dx_tr_app_precisez;diff_strat_et;type_diff_stra_et;pps1;pps2;pps3;pps4;pps5;pps6;pps7;pps8;pps9;pps10;pps11;perf1;perf2;perf3;perf4;perf5;perf6;perf7;perf8;perf9;perf10;perf11;perf12;perf13;perf14;perf15;perf16;perf17;perf18;perf19;perf20;flexpsy1;flexpsy2;flexpsy3;flexpsy4;flexpsy5;flexpsy6;flexpsy7;flexpsy8;flexpsy9;flexpsy10;flexpsy11;flexpsy12;sep1;sep2;sep3;sep4;sep5;sep6;sep7;sep8;sep9;sep10;qmes1;qmes2;qmes3;qmes4;qmes5;qmes6;qmes7;qmes8;qmes9;qmes10;qmes11;qmes12;qmes13;qmes14;qmes15;qmes16;qmes17;qmes18;qmes19;qmes20;qmes21;qmes22;qmes23;qmes24;qmes25;qmes26;qmes27;ese1;ese2;ese3;ese4;ese5;eead1;eead1;eead2;eead3;eead4;eead5;eead6;eead7;eead8;eead9;eead10;eead11;eead12;eead13;eead14;qeed_ouv;qeed1;qeed2;qeed3;qeed4;qeed5;qeed6;proc_ouvert
25;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Trois-Rivières; ;Troisième cycle (Doctorat);Temps plein;Sciences humaines/sociales; ;Complètement à distance (en ligne;0-5 heures;Célibataire;Non; ;Oui;TDA/H; ;Oui;J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études.;1;2;3;2;1;2;2;1;4;1;1;5;4;5;5;4;5;4;3;3;3;2;3;2;4;3;2;3;4;3;4;5;5;5;4;3;5;5;3;6;6;6;5;3;2;4;2;3;3;3;4;4;3;6;6;6;8;8;0;6;6;3;7;4;7;7;7;1;6;6;3;8;4;0;8;7;1;8;5;0;6;4;5;7;5;6,01347001699907E-154;La plupart du temps;Tout à fait autant;Oui, mais ce n’est pas trop grave;Autant que par le passé;Très souvent;La plupart du temps;Pas souvent;Parfois;Assez souvent;Il se peut que je n’y fasse pas autant attention;Oui, beaucoup;Autant qu’avant;Pas très souvent;Parfois; ;5;4;3;1;3;5;Mon niveau de procrastination est demeuré le même que lors des enseignements en présentiel.
22;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Trois-Rivières; ;Deuxième cycle (Maîtrise ou DESS);Temps plein;Sciences santés; ;Partiellement à distance (en ligne;Je n'ai pas d'emploi;Célibataire;Non; ;Non; ; ;Oui;J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;4;4;5;4;3;4;3;4;3;2;2;5;5;5;4;5;5;4;5;5;4;4;4;5;5;5;5;5;4;4;5;2;5;6;6;3;4;3;3;6;5;5;4;3;3;4;2;2;3;1;3;3;3;7;6;3;8;7;3;8;5;5;8;8;7;8;6;1;8;7;5;7;8;3;8;6;1;8;6;3;6;5;6;7;6;6,01347001699907E-154;Très souvent;Pas tout à fait autan;Oui, mais ce n’est pas trop grave;Pas tout à fait autant maintenan;Très souvent;Parfois;Pas souvent;Pas du tout;Jamais;Il se peut que je n’y fasse pas autant attention;Oui, beaucoup;Autant qu’avant;Assez souvent;Peu souvent; ;4;4;5;2;2;4;Mon niveau de procrastination s'est empiré quelque peu, je m'y prends plus à la dernière minute.
23;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Trois-Rivières; ;Deuxième cycle (Maîtrise ou DESS);Temps plein;Sciences santés; ;Partiellement à distance (en ligne;0-5 heures;Conjoint de fait;Non; ;Non; ; ;Oui;J'ai de la difficulté à bien préparer mes examens., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai de la difficulté à prendre de bonnes notes de cours., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;1;2;2;4;3;3;3;2;2;2;1;5;4;5;4;3;3;3;5;5;4;3;3;3;4;5;2;3;1;2;3;2;2;5;5;3;4;2;2;4;3;4;4;3;3;2;3;3;3;2;3;3;4;5;3;5;5;2;2;6;5;0;4;5;8;8;3;3;8;5;0;7;7;3;8;0;2;8;2;2;4;5;4;7;5;6,01347001699907E-154;Très souvent;Pas tout à fait autan;Un peu, mais cela ne m’inquiète pas;Autant que par le passé;Très souvent;Parfois;Pas souvent;Très souvent;Assez souvent;Je n’y accorde pas autant d’attention que je le dev;Pas beaucoup;Bien moins qu’avant;Assez souvent;Parfois; ;5;4;4;1;2;2;Mon niveau de procrastination s'est empiré beaucoup, je m'y prends beaucoup plus à la dernière minu
37;Féminin;Féminin; ;Blanc-Caucasien; ;Université de Sherbrooke; ;Deuxième cycle (Maîtrise ou DESS);Temps partiel;Sciences humaines/sociales; ;Complètement à distance (en ligne;26 heures et plus;Conjoint de fait;Oui;2;Oui;TDA/H; ;Non;J'ai de la difficulté à concilier la famille et les études., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études.;2;2;3;2;2;2;2;3;1;1;1;4;4;3;4;4;5;3;4;4;3;3;4;3;3;3;2;2;3;1;3;5;5;5;5;4;4;4;2;4;4;4;4;4;3;3;4;4;3;3;4;4;4;7;4;3;7;4;3;6;7;2;6;2;6;7;3;1;5;8;5;6;2;2;6;4;2;3;6;2;5;6;6;6;6;6,01347001699907E-154;Très souvent;Tout à fait autant;Un peu, mais cela ne m’inquiète pas;Autant que par le passé;Assez souvent;La plupart du temps;Jamais;Parfois;Parfois;J’y prête autant d’attention que par le passé;Oui, beaucoup;Autant qu’avant;Pas très souvent;Parfois; ;4;1;1;5;5;5;Mon niveau de procrastination a diminué (je m'y prends plus à l'avance pour réaliser mes tâches)
26;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Trois-Rivières; ;Premier cycle (Baccalauréat, Certificat;Temps plein;Sciences humaines/sociales; ;Complètement à distance (en ligne;16-20 heures;Célibataire;Non; ;Non; ; ;Non; ;2;2;2;2;2;2;2;2;1;1;1;5;5;5;5;5;4;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;3;2;2;3;4;4;4;5;5;3;2;3;3;3;3;3;3;3;3;6;7;6;6;5;0;6;8;1;8;6;6;7;8;0;5;8;2;7;6;1;7;5;1;6;8;4;5;6;6;6;6;6,01347001699907E-154;Très souvent;Tout à fait autant;Oui, mais ce n’est pas trop grave;Autant que par le passé;Assez souvent;La plupart du temps;Pas souvent;Parfois;Parfois;Il se peut que je n’y fasse pas autant attention;Pas beaucoup;Autant qu’avant;Assez souvent;Souvent; ;4;3;4;3;3;3;Mon niveau de procrastination est demeuré le même que lors des enseignements en présentiel.
24;Féminin;Féminin; ;Blanc-Caucasien; ;Université Laval; ;Deuxième cycle (Maîtrise ou DESS);Temps plein;Sciences santés; ;Complètement à distance (en ligne;Je n'ai pas d'emploi;Conjoint de fait;Non; ;Non; ; ;Oui;J'ai de la difficulté à gérer mon temps., J'ai de la difficulté à bien préparer mes examens., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;1;3;4;1;4;5;4;3;2;2;2;5;4;4;3;3;2;3;2;3;2;2;4;2;2;2;4;4;4;3;1;6;5;6;5;5;2;6;5;4;6;5;6;4;3;2;4;4;4;4;3;3;4;4;2;7;8;7;0;8;7;0;7;4;6;8;7;0;8;8;0;7;6;1;8;8;0;5;3;0;3;3;2;6;6;6,01347001699907E-154;La plupart du temps;Tout à fait autant;Un peu, mais cela ne m’inquiète pas;Autant que par le passé;Très souvent;La plupart du temps;Habituellement;Parfois;Parfois;Il se peut que je n’y fasse pas autant attention;Assez;Plutôt moins qu’av;Jamais;Souvent; ;5;4;4;1;1;4;Mon niveau de procrastination s'est empiré beaucoup, je m'y prends beaucoup plus à la dernière minu
42;Féminin;Féminin; ;Blanc-Caucasien; ;Université de Montréal; ;Premier cycle (Baccalauréat, Certificat;Temps partiel;Sciences humaines/sociales; ;Complètement à distance (en ligne;0-5 heures;Conjoint de fait;Oui;1;Non; ; ;Non; ;3;4;4;2;1;2;2;4;4;2;2;5;5;5;4;3;4;4;5;5;5;4;4;3;4;5;3;3;3;4;5;4;4;2;2;3;3;2;3;4;5;4;5;3;2;4;3;2;4;2;2;3;3;6;8;2;8;6;2;7;6;2;6;8;5;7;6;1;7;8;3;6;8;2;8;6;2;6;7;2;5;3;5;2;2;6,01347001699907E-154;Très souvent;Pas tout à fait autan;Pas du tout;Autant que par le passé;Assez souvent;Parfois;Habituellement;Parfois;Parfois;Je n’y accorde pas autant d’attention que je le dev;Assez;Autant qu’avant;Pas très souvent;Souvent; ;3;1;1;4;5;5;Mon niveau de procrastination a diminué (je m'y prends plus à l'avance pour réaliser mes tâches)
19;Féminin;Féminin; ;Blanc-Caucasien; ;Cégep (spécifiez ci-dessous);Cegep de Trois-Rivières;Cégep;Temps plein;Autres; ;Complètement à distance (en ligne;0-5 heures;Célibataire;Non; ;Oui;TDA/H; ;Oui;J'ai de la difficulté en français (rédaction, lecture ou communication)., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;3;3;2;4;4;3;4;2;3;2;1;4;3;4;2;2;2;4;4;5;3;4;3;3;3;4;3;2;3;4;4;4;3;5;3;4;2;2;3;5;4;3;3;3;4;2;2;4;3;2;2;2;3;6;4;7;5;6;2;5;6;4;3;5;7;5;6;3;6;6;7;5;4;4;6;6;3;7;2;6;5;1;3;3;5;6,01347001699907E-154;Très souvent;Pas tout à fait autan;Un peu, mais cela ne m’inquiète pas;Pas tout à fait autant maintenan;Assez souvent;Parfois;Jamais;Pas du tout;Parfois;Il se peut que je n’y fasse pas autant attention;Oui, beaucoup;Autant qu’avant;Assez souvent;Très raremen; ;5;4;5;2;2;2;Mon niveau de procrastination s'est empiré quelque peu, je m'y prends plus à la dernière minute.
20;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Chicoutimi; ;Premier cycle (Baccalauréat, Certificat;Temps plein;Sciences santés; ;Complètement à distance (en ligne;Je n'ai pas d'emploi;Conjoint de fait;Non; ;Non; ; ;Oui;J'ai de la difficulté à gérer mon temps., J'ai de la difficulté à bien préparer mes examens., J'ai de la difficulté à effectuer des recherches documentaires., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai de la difficulté à prendre de bonnes notes de cours., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;3;2;1;2;3;3;3;2;2;2;2;2;7;3;3;6;7;4;7;6;3;6;2;0;4;3;0;7;5;3;7;3;1;5;5;0;4;5;2;5;5;5;6,01347001699907E-154;La plupart du temps;Pas tout à fait autan;Un peu, mais cela ne m’inquiète pas;Autant que par le passé;Assez souvent;La plupart du temps;Habituellement;Très souvent;Parfois;Je ne m’y intéresse plus du tout;Oui, beaucoup;Plutôt moins qu’av;Jamais;Souvent; ;5;5;5;1;2;5;Mon niveau de procrastination s'est empiré beaucoup, je m'y prends beaucoup plus à la dernière minu
24;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Chicoutimi; ;Premier cycle (Baccalauréat, Certificat;Temps plein;Sciences santés; ;Complètement à distance (en ligne;21-25 heures;Conjoint de fait;Non; ;Non; ; ;Non;J'ai de la difficulté à gérer mon temps., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;2;1;3;4;4;4;1;2;1;1;1;5;4;4;4;2;4;4;3;1;1;2;2;1;3;1;1;3;4;1;1;3;2;6;5;2;2;3;3;6;5;3;4;3;4;3;4;4;4;3;4;4;4;5;6;7;8;6;1;8;5;2;8;5;3;7;5;1;8;7;2;7;6;2;8;0;1;8;2;2;6;5;7;6;5;6,01347001699907E-154;Très souvent;Tout à fait autant;Un peu, mais cela ne m’inquiète pas;Autant que par le passé;De temps en temps mais pas trop souvent;La plupart du temps;Jamais;Très souvent;Jamais;Il se peut que je n’y fasse pas autant attention;Pas beaucoup;Autant qu’avant;Pas très souvent;Souvent; ;1;1;1;3;5;4;Mon niveau de procrastination s'est empiré quelque peu, je m'y prends plus à la dernière minute.
37;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Chicoutimi; ;Premier cycle (Baccalauréat, Certificat;Temps plein;Sciences santés; ;Complètement à distance (en ligne;16-20 heures;Célibataire;Non; ;Non; ; ;Oui;J'ai de la difficulté à gérer mon temps., J'ai de la difficulté à bien préparer mes examens., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai de la difficulté à m'adapter au retour aux études., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;3;4;4;4;4;5;4;4;3;2;2;4;3;3;4;4;5;4;4;4;2;2;4;2;3;4;2;4;4;4;1;4;3;3;3;5;5;3;3;5;4;4;5;3;3;2;2;3;4;2;3;2;3;6;5;7;4;3;1;7;7;2;5;6;7;6;4;1;7;7;5;6;7;4;7;3;2;6;0;1;5;5;4;5;4;6,01347001699907E-154;Très souvent;Pas tout à fait autan;Un peu, mais cela ne m’inquiète pas;Autant que par le passé;Assez souvent;Parfois;Pas souvent;Très souvent;Parfois;Je n’y accorde pas autant d’attention que je le dev;Assez;Plutôt moins qu’av;Pas très souvent;Peu souvent; ;3;4;2;4;3;4;Mon niveau de procrastination s'est empiré quelque peu, je m'y prends plus à la dernière minute.
20;Féminin;Féminin; ;Blanc-Caucasien; ;Université du Québec à Chicoutimi; ;Premier cycle (Baccalauréat, Certificat;Temps plein;Sciences santés; ;Complètement à distance (en ligne;6-10 heures;Célibataire;Non; ;Non; ; ;Oui;J'ai de la difficulté à concilier la famille et les études., J'ai de la difficulté à bien préparer mes examens., J'ai de la difficulté à rester concentré pendant une période assez longue (au moins 1 heure) pendant mes périodes d'études., J'ai tendance à procrastiner (remettre à plus tard ce que je dois faire).;1;4;4;3;3;4;3;4;5;2;1;5;5;5;5;4;4;2;4;5;5;5;5;5;5;5;5;3;5;4;5;4;4;4;3;5;5;2;3;2;4;5;4;4;3;4;3;2;3;3;3;2;3;6;7;8;8;7;0;4;8;6;6;6;8;8;8;1;6;8;3;4;3;7;8;6;2;8;7;8;6;5;4;5;5;6,01347001699907E-154;La plupart du temps;Un peu seulement;Oui, très nettement et c’est plutôt g;Vraiment moins qu’avant;Très souvent;Parfois;Jamais;Très souvent;Très souvent;Je n’y accorde pas autant d’attention que je le dev;Assez;Bien moins qu’avant;Assez souvent;Parfois; ;5;3;3;5;5;5;Mon niveau de procrastination s'est empiré quelque peu, je m'y prends plus à la dernière minute.
